,full_name,id,contained_within,country,country_code,geo,name,place_type
7dabbf75534f6cee,"Amherst, NY",7dabbf75534f6cee,[],,,"{'type': 'Feature', 'bbox': [-78.832497, 42.948903, -78.696766, 43.06933], 'properties': {}}",,city
3e94c70e7a8a35d3,"Reading, PA",3e94c70e7a8a35d3,[],,,"{'type': 'Feature', 'bbox': [-75.95954, 40.29676, -75.890503, 40.371477], 'properties': {}}",,city
daa5fcec75a430ae,"Porterville, CA",daa5fcec75a430ae,[],,,"{'type': 'Feature', 'bbox': [-119.080552, 36.029555, -118.977713, 36.1199948], 'properties': {}}",,city
07d9e8892d082000,IUPUI: Hine Hall (IP),07d9e8892d082000,[],,,"{'type': 'Feature', 'bbox': [-86.17381511645246, 39.77534038837763, -86.17381511645246, 39.77534038837763], 'properties': {}}",,poi
b0ccc334a6d569d3,"Yountville, CA",b0ccc334a6d569d3,[],,,"{'type': 'Feature', 'bbox': [-122.384084, 38.380206, -122.349882, 38.413965], 'properties': {}}",,city
000a29244ff01635,"Falmouth, ME",000a29244ff01635,[],,,"{'type': 'Feature', 'bbox': [-70.281704, 43.692941, -70.197961, 43.748681], 'properties': {}}",,city
0135cc8347e0b8f2,"Cohasset, MA",0135cc8347e0b8f2,[],,,"{'type': 'Feature', 'bbox': [-70.8493, 42.203263, -70.782365, 42.264849], 'properties': {}}",,city
004e10e27b41078d,"Campton Hills, IL",004e10e27b41078d,[],,,"{'type': 'Feature', 'bbox': [-88.4581846, 41.9062784, -88.374331, 41.9875081], 'properties': {}}",,city
07d9dafb0d885000,George Bush Intercontinental Airport (IAH),07d9dafb0d885000,[],,,"{'type': 'Feature', 'bbox': [-95.34154415130615, 29.986479016260077, -95.34154415130615, 29.986479016260077], 'properties': {}}",,poi
0f804188bb25fc47,"Hampton Township, PA",0f804188bb25fc47,[],,,"{'type': 'Feature', 'bbox': [-79.991296, 40.553675, -79.8886615, 40.616608], 'properties': {}}",,city
e41805d7248dbf1e,"Modesto, CA",e41805d7248dbf1e,[],,,"{'type': 'Feature', 'bbox': [-121.074342, 37.59485, -120.900594, 37.732784], 'properties': {}}",,city
7d51c8dfbb08a9de,"Redding, CA",7d51c8dfbb08a9de,[],,,"{'type': 'Feature', 'bbox': [-122.452708, 40.456935, -122.267398, 40.651054], 'properties': {}}",,city
781e991b9f95b37f,"Romulus, MI",781e991b9f95b37f,[],,,"{'type': 'Feature', 'bbox': [-83.446302, 42.179271, -83.306006, 42.268212], 'properties': {}}",,city
531a6942bb8056b9,"Charlottesville, VA",531a6942bb8056b9,[],,,"{'type': 'Feature', 'bbox': [-78.528507, 38.009553, -78.446389, 38.07052], 'properties': {}}",,city
d6819fe60643ebc1,"Alexandria, VA",d6819fe60643ebc1,[],,,"{'type': 'Feature', 'bbox': [-77.144435, 38.789907, -77.037304, 38.8448531], 'properties': {}}",,city
00a4bbcc0dcd7572,"College Station, TX",00a4bbcc0dcd7572,[],,,"{'type': 'Feature', 'bbox': [-96.37703, 30.520359, -96.206267, 30.6505837], 'properties': {}}",,city
309e4f83032e9413,"Discovery Bay, CA",309e4f83032e9413,[],,,"{'type': 'Feature', 'bbox': [-121.6414764, 37.889142, -121.586181, 37.932788], 'properties': {}}",,city
252db32a3bbc79c2,"Danville, IL",252db32a3bbc79c2,[],,,"{'type': 'Feature', 'bbox': [-87.722497, 40.1049558, -87.53169, 40.204494], 'properties': {}}",,city
07d9d22ffec81000,Montgomery College Cultural Arts Center,07d9d22ffec81000,[],,,"{'type': 'Feature', 'bbox': [-77.02630689465173, 38.98684175431501, -77.02630689465173, 38.98684175431501], 'properties': {}}",,poi
06d6054b42e6575f,"Olathe, KS",06d6054b42e6575f,[],,,"{'type': 'Feature', 'bbox': [-94.901766, 38.825503, -94.714404, 38.9477434], 'properties': {}}",,city
07d9c928b7482000,Hilton Austin,07d9c928b7482000,[],,,"{'type': 'Feature', 'bbox': [-97.7386541, 30.2654213, -97.7386541, 30.2654213], 'properties': {}}",,poi
6af99a29bfae42a2,"Downers Grove, IL",6af99a29bfae42a2,[],,,"{'type': 'Feature', 'bbox': [-88.0966885, 41.744098, -87.9833145, 41.8390701], 'properties': {}}",,city
b046074b1030a44d,"Jersey City, NJ",b046074b1030a44d,[],,,"{'type': 'Feature', 'bbox': [-74.107995, 40.666879, -74.0253309, 40.769124], 'properties': {}}",,city
e2f1b549a3c91df8,"Bellview, FL",e2f1b549a3c91df8,[],,,"{'type': 'Feature', 'bbox': [-87.345259, 30.431912, -87.272194, 30.4933717], 'properties': {}}",,city
7142eb97ae21e839,"Georgia, USA",7142eb97ae21e839,[],,,"{'type': 'Feature', 'bbox': [-85.605166, 30.355644, -80.742567, 35.000771], 'properties': {}}",,admin
